
Running UTF8 validation benchmark.
The speed is normalized by the number of input bytes.
file: examples/hongkong.html (1807KB)
- 1, 2, 3, 4 UTF8 bytes
                                  memcpy                                   0.016 ins/byte,    0.061 branch miss/kbyte,      4.084 GHz,   34.278 GB/s 
                                  fushia                                  12.527 ins/byte,  269.332 branch miss/kbyte,      3.698 GHz,    0.373 GB/s 
                                     dfa                                   9.015 ins/byte,    0.366 branch miss/kbyte,      3.702 GHz,    0.615 GB/s 
                                    dfa2                                   7.516 ins/byte,    0.305 branch miss/kbyte,      3.711 GHz,    1.227 GB/s 
                                    dfa3                                   7.017 ins/byte,    0.183 branch miss/kbyte,      3.715 GHz,    1.575 GB/s 
                                    dfa4                                   9.018 ins/byte,    0.488 branch miss/kbyte,      3.701 GHz,    0.615 GB/s 
                              zwegneravx                                   1.270 ins/byte,    0.122 branch miss/kbyte,      3.816 GHz,   10.490 GB/s 
                              lookup2avx                                   1.159 ins/byte,    0.122 branch miss/kbyte,      3.814 GHz,   10.312 GB/s 
                              lookup3avx                                   1.128 ins/byte,    0.122 branch miss/kbyte,      3.814 GHz,   10.578 GB/s 
                                basicavx                                   1.754 ins/byte,    0.183 branch miss/kbyte,      3.771 GHz,    6.356 GB/s 
                                rangeavx                                   1.472 ins/byte,    0.183 branch miss/kbyte,      3.786 GHz,    7.703 GB/s 
