
Running UTF8 validation benchmark.
The speed is normalized by the number of input bytes.
file: examples/hongkong.html (1807KB)
- 1, 2, 3, 4 UTF8 bytes
                                  memcpy                                   0.117 ins/byte,    0.305 branch miss/kbyte,      4.051 GHz,   46.687 GB/s 
                                  fushia                                  12.494 ins/byte,  168.121 branch miss/kbyte,      3.401 GHz,    0.495 GB/s 
                                     dfa                                   9.014 ins/byte,    0.305 branch miss/kbyte,      3.403 GHz,    0.677 GB/s 
                                    dfa2                                   7.515 ins/byte,    0.244 branch miss/kbyte,      3.412 GHz,    1.279 GB/s 
                                    dfa3                                   7.018 ins/byte,    0.305 branch miss/kbyte,      3.415 GHz,    1.790 GB/s 
                                    dfa4                                   9.018 ins/byte,    0.488 branch miss/kbyte,      3.402 GHz,    0.678 GB/s 
                              zwegneravx                                   1.271 ins/byte,    0.244 branch miss/kbyte,      3.524 GHz,    9.243 GB/s 
                              lookup2avx                                   1.162 ins/byte,    0.244 branch miss/kbyte,      3.553 GHz,   11.688 GB/s 
                              lookup3avx                                   1.131 ins/byte,    0.244 branch miss/kbyte,      3.567 GHz,   12.202 GB/s 
                                basicavx                                   1.758 ins/byte,    0.244 branch miss/kbyte,      3.483 GHz,    6.364 GB/s 
                                rangeavx                                   1.476 ins/byte,    0.244 branch miss/kbyte,      3.503 GHz,    7.679 GB/s 
